epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,24947.1,0.68665,0.32063,0.81415,0.90856,0.65348,0.77111,0.5714,0.64635,0.29243,0.80455,0.002344,0.002344,0.002344
118,25161.2,0.68492,0.31856,0.81474,0.9087,0.65343,0.77132,0.5717,0.64608,0.29241,0.80452,0.002278,0.002278,0.002278
119,25374.8,0.68388,0.31805,0.81391,0.90979,0.65414,0.77211,0.57196,0.64577,0.29215,0.8044,0.002212,0.002212,0.002212
120,25589.4,0.68577,0.31951,0.81354,0.91046,0.65358,0.77214,0.57198,0.64564,0.29228,0.80431,0.002146,0.002146,0.002146
121,25804.3,0.68303,0.31817,0.81313,0.91198,0.65344,0.77232,0.57251,0.64512,0.29234,0.80429,0.00208,0.00208,0.00208
122,26019,0.68152,0.31652,0.81244,0.9113,0.65403,0.77258,0.57275,0.64487,0.29209,0.80422,0.002014,0.002014,0.002014
123,26232.7,0.67972,0.31593,0.81299,0.91063,0.65449,0.77281,0.57306,0.64443,0.29187,0.80414,0.001948,0.001948,0.001948
124,26446.5,0.67633,0.31388,0.81246,0.91131,0.65426,0.77268,0.57318,0.64443,0.29192,0.80418,0.001882,0.001882,0.001882
125,26661,0.67561,0.31304,0.81275,0.91122,0.65368,0.77283,0.57339,0.64413,0.29181,0.80417,0.001816,0.001816,0.001816
126,26875.7,0.67727,0.3145,0.81195,0.91172,0.65526,0.77327,0.57375,0.64384,0.29167,0.80413,0.00175,0.00175,0.00175
127,27089.8,0.67126,0.31225,0.8128,0.91165,0.65524,0.77297,0.5734,0.64363,0.29142,0.80407,0.001684,0.001684,0.001684
128,27303.9,0.67591,0.31304,0.81202,0.91195,0.65531,0.77319,0.57389,0.64365,0.29123,0.80408,0.001618,0.001618,0.001618
129,27518,0.66945,0.31078,0.81122,0.91157,0.65545,0.77319,0.57374,0.64352,0.29071,0.80406,0.001552,0.001552,0.001552
130,27732.5,0.66855,0.31051,0.81031,0.91219,0.65448,0.77326,0.57427,0.64347,0.29049,0.80405,0.001486,0.001486,0.001486
131,27947.3,0.67035,0.31157,0.81235,0.91186,0.65442,0.77345,0.57438,0.64316,0.29054,0.80408,0.00142,0.00142,0.00142
132,28161.3,0.6684,0.30814,0.81119,0.91152,0.65489,0.77362,0.57445,0.64308,0.2905,0.80404,0.001354,0.001354,0.001354
133,28375.4,0.66823,0.30801,0.81076,0.91109,0.65494,0.77379,0.57437,0.64273,0.2902,0.80404,0.001288,0.001288,0.001288
134,28589.7,0.66752,0.30745,0.81082,0.9106,0.65483,0.77341,0.57447,0.64273,0.29005,0.80404,0.001222,0.001222,0.001222
135,28803.7,0.65995,0.30502,0.80981,0.91118,0.65507,0.77349,0.57461,0.6426,0.29012,0.80399,0.001156,0.001156,0.001156
136,29017.8,0.66193,0.3058,0.80898,0.91173,0.65536,0.77414,0.57466,0.64259,0.29029,0.80396,0.00109,0.00109,0.00109
137,29232.4,0.66182,0.30414,0.80886,0.91154,0.65534,0.77398,0.57494,0.64271,0.29043,0.80396,0.001024,0.001024,0.001024
138,29446.4,0.65831,0.30327,0.80965,0.91114,0.65547,0.7739,0.57502,0.64249,0.29046,0.80393,0.000958,0.000958,0.000958
139,29660.5,0.66203,0.30439,0.80859,0.91114,0.65519,0.77387,0.57549,0.64216,0.29001,0.80384,0.000892,0.000892,0.000892
140,29874.8,0.65635,0.30184,0.80781,0.91068,0.65569,0.7742,0.57542,0.64228,0.29017,0.80382,0.000826,0.000826,0.000826
141,30116.9,0.64788,0.29377,0.80667,0.9099,0.65628,0.77444,0.57568,0.64197,0.28997,0.8038,0.00076,0.00076,0.00076
142,30328.6,0.64356,0.29202,0.80457,0.90972,0.65657,0.7744,0.57576,0.64186,0.29013,0.80375,0.000694,0.000694,0.000694
143,30540.3,0.63876,0.29035,0.80334,0.90984,0.6566,0.7745,0.5759,0.64202,0.29004,0.80377,0.000628,0.000628,0.000628
144,30752,0.64105,0.28946,0.80448,0.90988,0.65717,0.77461,0.57614,0.64167,0.28986,0.80372,0.000562,0.000562,0.000562
145,30964.4,0.6385,0.2908,0.80346,0.9097,0.65692,0.77486,0.57612,0.64164,0.29009,0.80368,0.000496,0.000496,0.000496
146,31177,0.63526,0.28789,0.80303,0.90953,0.65691,0.77492,0.57621,0.64178,0.28997,0.80375,0.00043,0.00043,0.00043
147,31387,0.63146,0.28624,0.801,0.9106,0.65656,0.77491,0.57624,0.64162,0.29012,0.80372,0.000364,0.000364,0.000364
148,31593.2,0.63069,0.28598,0.80239,0.90976,0.65688,0.7752,0.57655,0.64162,0.2903,0.80372,0.000298,0.000298,0.000298
149,31799.7,0.62799,0.2848,0.8024,0.91049,0.65677,0.77523,0.57699,0.64148,0.2904,0.80372,0.000232,0.000232,0.000232
150,32006.6,0.62877,0.28396,0.80231,0.91038,0.6565,0.77533,0.57681,0.64157,0.29036,0.8037,0.000166,0.000166,0.000166
