epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,18129.9,0.69449,0.32893,0.79784,0.9169,0.68218,0.80059,0.59613,0.65194,0.2912,0.79147,0.00439,0.00439,0.00439
87,18340.6,0.69295,0.3276,0.79668,0.9153,0.68371,0.80183,0.59652,0.65156,0.29047,0.79133,0.004324,0.004324,0.004324
88,18551.8,0.68919,0.32643,0.79687,0.91746,0.68169,0.80144,0.59727,0.65172,0.29022,0.79124,0.004258,0.004258,0.004258
89,18763.5,0.68735,0.32635,0.79638,0.91787,0.68303,0.80178,0.59734,0.65138,0.28977,0.79119,0.004192,0.004192,0.004192
90,18975.3,0.6905,0.3265,0.79598,0.91621,0.68416,0.80235,0.59763,0.65161,0.29003,0.79124,0.004126,0.004126,0.004126
91,19186.3,0.68622,0.32482,0.79658,0.91661,0.68474,0.80235,0.59747,0.65215,0.28955,0.79128,0.00406,0.00406,0.00406
92,19396.4,0.68296,0.3229,0.79641,0.91085,0.68721,0.80223,0.59854,0.65157,0.28882,0.79118,0.003994,0.003994,0.003994
93,19607.3,0.68315,0.32241,0.79532,0.91475,0.68618,0.80238,0.59917,0.65125,0.28859,0.79112,0.003928,0.003928,0.003928
94,19819.2,0.6801,0.32232,0.79584,0.9121,0.6873,0.8024,0.59878,0.65094,0.28847,0.79122,0.003862,0.003862,0.003862
95,20030.9,0.6782,0.32044,0.79582,0.91379,0.6868,0.80303,0.59911,0.65073,0.28813,0.79124,0.003796,0.003796,0.003796
96,20240.6,0.67593,0.3192,0.79507,0.91348,0.68709,0.80304,0.59933,0.6505,0.28813,0.7912,0.00373,0.00373,0.00373
97,20460.4,0.67541,0.31909,0.79552,0.91207,0.68807,0.80344,0.59947,0.65066,0.28788,0.79119,0.003664,0.003664,0.003664
98,20684.8,0.67633,0.31808,0.79437,0.91465,0.68702,0.8036,0.59985,0.65071,0.28744,0.79116,0.003598,0.003598,0.003598
99,20908.2,0.67422,0.3181,0.79501,0.91261,0.68784,0.80345,0.60035,0.65045,0.28726,0.79109,0.003532,0.003532,0.003532
100,21130.7,0.67009,0.31553,0.79408,0.91063,0.68826,0.8036,0.60106,0.65012,0.28745,0.79107,0.003466,0.003466,0.003466
101,21352.9,0.6744,0.3175,0.79573,0.90888,0.68904,0.80371,0.60121,0.64982,0.28682,0.79109,0.0034,0.0034,0.0034
102,21576.3,0.67065,0.31496,0.79491,0.90875,0.69001,0.80389,0.60105,0.64955,0.2867,0.791,0.003334,0.003334,0.003334
103,21800.4,0.66864,0.31327,0.79412,0.90906,0.69009,0.80359,0.60164,0.6489,0.28615,0.79094,0.003268,0.003268,0.003268
104,22023.7,0.66758,0.31353,0.79423,0.90881,0.68981,0.80399,0.6022,0.64863,0.28599,0.79088,0.003202,0.003202,0.003202
105,22246.8,0.66435,0.31196,0.79249,0.90865,0.68987,0.80428,0.60242,0.64834,0.28568,0.79081,0.003136,0.003136,0.003136
106,22469.5,0.66462,0.31151,0.79405,0.90771,0.68992,0.80412,0.60291,0.64781,0.28565,0.79078,0.00307,0.00307,0.00307
107,22693.8,0.66348,0.31103,0.79328,0.90615,0.69076,0.80413,0.60306,0.64759,0.2852,0.79077,0.003004,0.003004,0.003004
108,22916.2,0.66143,0.31061,0.79354,0.90567,0.69081,0.80451,0.60338,0.64744,0.2852,0.79075,0.002938,0.002938,0.002938
109,23139.4,0.65857,0.30935,0.79309,0.90792,0.69108,0.80518,0.60323,0.64735,0.28486,0.79069,0.002872,0.002872,0.002872
110,23359.1,0.65999,0.30955,0.79253,0.90962,0.69044,0.80524,0.60333,0.64701,0.28513,0.79068,0.002806,0.002806,0.002806
111,23581.2,0.65713,0.30735,0.79242,0.9084,0.69146,0.80516,0.60312,0.64708,0.28491,0.79066,0.00274,0.00274,0.00274
112,23804.7,0.64795,0.3036,0.79126,0.90843,0.69225,0.80529,0.60329,0.64723,0.28492,0.79064,0.002674,0.002674,0.002674
113,24025.2,0.65212,0.30573,0.79339,0.90833,0.69228,0.80569,0.60375,0.64671,0.28476,0.79054,0.002608,0.002608,0.002608
114,24240.9,0.64755,0.30365,0.79135,0.908,0.69274,0.80595,0.60409,0.64643,0.28493,0.7905,0.002542,0.002542,0.002542
115,24460.3,0.64912,0.30462,0.79176,0.90766,0.69257,0.80599,0.60417,0.64665,0.28476,0.79051,0.002476,0.002476,0.002476
116,24682.8,0.64231,0.30134,0.78997,0.90912,0.69228,0.80612,0.60436,0.64628,0.28471,0.7905,0.00241,0.00241,0.00241
117,24901.9,0.64274,0.30039,0.7917,0.90878,0.69252,0.80619,0.60497,0.646,0.28502,0.7905,0.002344,0.002344,0.002344
118,25114.7,0.6405,0.30001,0.79183,0.90875,0.69238,0.80645,0.6048,0.64613,0.28498,0.79049,0.002278,0.002278,0.002278
119,25324.4,0.63987,0.29867,0.79127,0.90829,0.69235,0.80626,0.60549,0.64588,0.28464,0.79047,0.002212,0.002212,0.002212
120,25535.1,0.64024,0.29852,0.7907,0.90848,0.69203,0.80635,0.60523,0.64606,0.28472,0.79048,0.002146,0.002146,0.002146
121,25747,0.63791,0.29824,0.79072,0.90858,0.69245,0.80673,0.60536,0.64593,0.2848,0.79052,0.00208,0.00208,0.00208
122,25956.7,0.63569,0.29569,0.79034,0.90863,0.69311,0.80697,0.60562,0.64587,0.28471,0.79045,0.002014,0.002014,0.002014
123,26166.5,0.63326,0.29549,0.79008,0.90844,0.69242,0.80666,0.60551,0.64573,0.2847,0.79043,0.001948,0.001948,0.001948
124,26377.2,0.62917,0.29375,0.79001,0.90778,0.69312,0.80672,0.60579,0.64547,0.28447,0.79041,0.001882,0.001882,0.001882
125,26600.5,0.6289,0.29331,0.79008,0.90749,0.69322,0.80728,0.60612,0.64539,0.28453,0.79038,0.001816,0.001816,0.001816
126,26811.6,0.62803,0.29283,0.79011,0.90784,0.69345,0.80724,0.60622,0.64529,0.28432,0.7904,0.00175,0.00175,0.00175
127,27021.9,0.62484,0.2915,0.79078,0.9074,0.6932,0.80727,0.60634,0.64522,0.28416,0.79036,0.001684,0.001684,0.001684
128,27231.6,0.6286,0.29195,0.78954,0.90779,0.69352,0.80773,0.60622,0.64519,0.28434,0.79035,0.001618,0.001618,0.001618
129,27441.2,0.6201,0.28844,0.78947,0.90892,0.69296,0.80763,0.60635,0.64508,0.28399,0.79035,0.001552,0.001552,0.001552
